name,imdb_avg,num,fb_likes
Sam Claflin,7.6,1,11000
Sam Adams,7.8,1,0
Salma Hayek,6.21,10,40000
Sally Kirkland,8.05,2,866
Sally Hawkins,6.45,2,1188
Saif Ali Khan,5.35,2,1064
Saffron Burrows,4.1,1,811
Saeed Jaffrey,6.35,2,228
Saad Siddiqui,5.2,1,223
S. Epatha Merkerson,6.5,1,539
Ryan Reynolds,6.63125,16,256000
Ryan O'Neal,7.75,2,770
Ryan Kruger,6,1,165
Ryan Guzman,5.466666667,3,9000
Ryan Gosling,7.017647059,17,561000
Ruth Wilson,8.6,1,2000
Russell Wong,8,1,595
Russell Tovey,6.3,1,796
Russell Hodgkinson,5.1,1,199
Rupert Grint,6.9,4,40000
Rupert Graves,7.8,1,443
Rupert Everett,7.2,1,692
Rumi Missabu,4.3,1,19
Rumi Hiiragi,7.7,1,6
Rufus Sewell,6.514285714,7,21000
Rudy Youngblood,5.7,2,1416
Ruby Dee,7.9,1,782
Royal Dano,7.4,1,232
Roy Scheider,7.466666667,6,4878
Roy Billing,7.5,1,116
Roxanne McKee,4.2,1,576
Rosie Perez,6.35,2,1838
Roscoe Lee Browne,6.3,1,204
Rosario Dawson,6.2,12,36000
Rosanna Arquette,5.7,1,605
Rory Culkin,7,3,2130
Ronny Cox,7.5,2,1210
Ronn Moss,3.5,1,177
Ronald Reagan,7.4,1,1000
Ron Howard,6.2,1,2000
Romola Garai,6.65,4,3220
Romany Malco,5.5,2,1932
Romain Duris,7.3,2,1618
Roma Downey,5.6,1,329
Roger Rees,5.766666667,3,3000
Roger Allam,7.3,1,326
Roddy McDowall,6.46,5,2975
Rod Steiger,7.3,1,279
Rock Hudson,6.2,1,638
Robyn Lively,6.3,1,439
Robin Wright,6.94,10,180000
Robin Williams,6.574074074,27,1323000
Robin McLeavy,6.7,1,399
Robin Lord Taylor,7,1,574
Robert Townsend,7,1,467
Robert Shaw,7.333333333,3,1677
Robert Ri'chard,5.3,2,1460
Robert Redford,6.9,1,0
Robert Pine,6.5,1,332
Robert Picardo,5.5,1,823
Robert Pattinson,6.2125,8,168000
Robert John Burke,5.5,1,318
Robert Forster,5.2,4,3556
Robert Duvall,7.044444444,9,27000
Robert Downey Jr.,6.815384615,26,546000
Robert De Niro,6.746938776,49,1078000
Robert Davi,6.6,1,683
Robert Clohessy,6.6,1,107
Robert Baker,6,1,142
Robbie Barnes,3,1,720
Rob Riggle,6.2,3,2517
Rob Paulsen,6.1,2,1354
Rob McElhenney,8.8,1,813
Rita Moreno,7.7,3,2412
Rita Hayworth,7.7,1,1000
Rip Torn,5.233333333,3,2478
Ringo Starr,8.2,1,725
Rijk de Gooyer,7,1,20
Ricky Schroder,6.55,2,1330
Rick Yune,6.1,2,1492
Richard Wilson,7.4,1,358
Richard Tyson,3.933333333,3,2229
Richard Moll,5.7,1,206
Richard Lawson,5.5,1,508
Richard Johnson,7.8,1,77
Richard Jewell,7.8,1,45
Richard Epcar,5.9,1,782
Richard E. Grant,6.366666667,3,1662
Richard Curtis,7.4,1,628
Richard Coyle,5.6,1,567
Richard Cawthorne,7.1,1,511
Richard Cabral,5,1,510
Richard Burton,7.3,2,1452
Richard Burgi,6.5,1,550
Richard Brooker,5.7,1,72
Rich Pecci,6.5,1,1000
Rich Ceraulo,3.8,1,387
Riccardo Scamarcio,7.3,2,1160
Ricardo Darín,8.05,2,1654
Rhys Wakefield,5.7,1,942
Rex Baker,5.8,1,15000
Rene Russo,6.7,1,808
Regina Hall,5.5,1,807
Redd Foxx,6.6,1,586
Rebecca Budig,4.4,1,210
Reba McEntire,7.1,1,651
Raymond J. Barry,6.6,1,108
Raymond Cruz,5.5,1,672
Raymond Burr,7.2,1,311
Ray Winstone,5.69,10,10000
Ray Milland,8,1,287
Raven-Symoné,4.6,1,1000
Rasheed Naz,7,1,7
Rapulana Seiphemo,7.8,1,29
Raoul Bova,6.7,1,727
Randy Wayne,4.95,2,1968
Ranbir Kapoor,7.2,2,1928
Rami Malek,5.3,2,6000
Rainn Wilson,5.1,1,973
Rae'Ven Kelly,7.2,1,90
Rae Dawn Chong,7.4,1,581
Radivoje Bukvic,6.4,1,150
Radha Mitchell,6.471428571,7,6938
Rachel True,6.5,1,328
Rachel Skarsten,6,1,371
Rachel Hendrix,5.75,2,1088
Rachel Griffiths,6.65,2,1156
Rachel Dratch,6.8,1,399
Rachel Ann Mullins,4.6,1,31000
Rachel Alig,5.4,1,397
Rachael Carpani,6.9,1,181
R. Brandon Johnson,5.45,2,338
Quvenzhané Wallis,6.866666667,3,6000
Quinton Aaron,6.4,1,734
Quincy Jones,7.3,1,340
Quentin Tarantino,7.42,5,80000
Qi Shu,6.4,1,1000
Q'orianka Kilcher,5.1,2,1358
Purva Bedi,6.7,1,250
Pruitt Taylor Vince,5.9,1,592
Poppy Montgomery,6.7,1,654
Piper Laurie,6.7,1,303
Pink,6.4,1,836
Pierre Perrier,8.3,1,164
Piero Maggiò,2.6,1,12
Phyllida Law,6.8,1,60
Phoebe Legere,5.1,1,40
Phoebe Cates,7.2,1,767
Philippe Nahon,7.4,1,56
Philippe Leroy,7.4,1,12
Philip Seymour Hoffman,7.24,20,440000
Philip Baker Hall,5.65,2,994
Phil Vischer,6.6,1,23
Phil Davis,7.4,1,386
Phaldut Sharma,7.8,1,39
Pfeifer Brown,4.2,1,220
Peter Vaughan,7.2,1,310
Peter Ustinov,7.2,1,440
Peter Serafinowicz,8,1,605
Peter Robbins,8.4,1,39
Peter Ostrum,7.8,1,240
Peter Mensah,6.5,2,2000
Peter McQuinn,5.7,1,121
Peter McNamara,6.6,1,419
Peter Greene,6.25,4,3156
Peter Graves,7.8,1,628
Peter Gallagher,7.3,3,2484
Peter Fonda,7.1,2,804
Peter Firth,6.3,1,141
Peter Dinklage,6.676923077,13,286000
Peter Coyote,6.233333333,3,1644
Peter Capaldi,7,1,17000
Pelé,7.3,1,102
Pedro Armendáriz Jr.,7.8,1,67
Paz Vega,5.7,1,963
Paz de la Huerta,7.3,1,488
Paulette Goddard,8.6,1,309
Paula Garcés,4.5,1,587
Paul Walker,6.255555556,18,414000
Paul Sorvino,6.6,4,2542
Paul Sheehan,3.9,1,473
Paul Schneider,7.5,1,552
Paul Ogola,7.4,1,147
Paul McGillion,5.2,1,405
Paul McGill,7.8,1,41
Paul McCartney,7.7,1,785
Paul Kaye,7.4,1,326
Paul Hogan,5.733333333,3,1326
Paul Hickert,6.3,1,110
Paul Guilfoyle,6.5,1,210
Paul Daniel Ayotte,6.7,1,111
Paul Brooke,6.4,1,51
Patton Oswalt,7.15,2,1572
Patrick Renna,5.2,1,590
Patrick O'Donnell,6.7,1,10
Patrick Macnee,6.45,2,2000
