actor_1_name,genres,score,actor_1_facebook_likes,Num
Catherine Hicks,Fantasy|Horror,6.5,311,1
Andrew Robinson,Fantasy|Horror,7,266,1
Rupert Grint,Fantasy,6.4,10000,1
Dallas Barnett,Fantasy,6.8,473,1
Tom E. Nicholson,Family|Sci-Fi,3.4,196,1
Henry Thomas,Family|Sci-Fi,7.9,861,1
Gary Daniels,Family|Musical,2.8,551,1
Oliver James,Family|Music|Romance,5.9,1000,1
Peter Ostrum,Family|Fantasy|Musical,7.8,240,1
Darci Kistler,Family|Fantasy|Music,5.7,2,1
Mike Stanley,Family,5.2,385,1
Kevin P. Farley,Family,3.2,143,1
Joshua Ray Bell,Family,6.6,288,1
David Raizor,Family,8.6,784,1
Carrie Bradstreet,Family,5.7,466,1
Leonardo DiCaprio,Drama|Western,8.5,29000,1
Lee Marvin,Drama|Western,8.1,756,1
Emily Podleski,Drama|Western,6.6,1000,1
Demi Moore,Drama|Western,6.3,4000,2
Clint Eastwood,Drama|Western,8.3,16000,1
Bruce Greenwood,Drama|Western,6.5,991,1
Barry Corbin,Drama|Western,6.6,883,1
Viggo Mortensen,Drama|War|Western,7.3,10000,1
Veronica Ferres,Drama|War,6.3,30000,1
Tom Wilkinson,Drama|War,7.4,1000,1
Robin Williams,Drama|War,6.5,49000,1
Robert Downey Jr.,Drama|War,7.5,21000,1
Robert De Niro,Drama|War,8.2,22000,1
Richard Johnson,Drama|War,7.8,77,1
Radha Mitchell,Drama|War,7.1,991,1
Rachel Griffiths,Drama|War,7.4,578,1
Padraic Delaney,Drama|War,7.5,97,1
Nick Stahl,Drama|War,7.6,648,1
Maximilian Schell,Drama|War,8.3,877,1
Kristin Scott Thomas,Drama|War,7.5,1000,1
Joseph Gordon-Levitt,Drama|War,6.5,23000,1
Johnny Depp,Drama|War,8.1,40000,1
Jeremy Irvine,Drama|War,7.2,25000,1
Jean Harlow,Drama|War,7.8,431,1
Harrison Ford,Drama|War,8.5,11000,1
Emily Watson,Drama|War,7.6,876,1
David Alpay,Drama|War,6.6,232,1
Cem Yilmaz,Drama|War,7.1,523,1
Bruce Willis,Drama|War,6.3,13000,1
Brian Lee Franklin,Drama|War,5.8,38,1
Bill Murray,Drama|War,6.1,13000,1
